GEOID,pm25_mean,n_cells
48439100602,12.849615191779773,15
48439122200,12.319424067343803,3
48439122300,12.275596190065617,2
48439122500,12.568686863663242,1
48121020206,13.40533860059305,49
48121020405,13.196096780763842,23
48121021414,13.191372610045757,23
48121020121,13.68234987242117,17
48121020137,13.957808233968645,1
48439122600,13.046199761348422,2
48439114006,13.11756891418931,2
48139060211,13.827701514373972,19
48139060801,13.713121785028942,17
48139060702,13.754722422246966,35
48139060802,13.637223562864662,14
48139060803,13.33808376669753,34
48139060212,13.117742527169662,5
48139060209,13.481876005490003,36
48497150101,13.249402021043755,12
48497150603,12.941656893369496,57
48085031704,13.481114966634678,2
48439110906,13.005611580222457,18
48439111567,13.186109490180641,2
48439105520,13.442874203386001,4
48439105519,13.329855221584872,4
48439111003,12.808910226466429,5
48439104702,13.166159716993205,3
48439111558,12.835020300543551,2
48439111525,13.12095390505108,7
48439111569,12.82705235001512,2
48439111570,12.636157305053395,4
48439111506,13.079797862708446,7
48439105201,13.487123962429154,1
48439111030,13.292976711285432,3
48439110703,12.921466273881963,3
48439110805,12.711915666929373,6
48439102301,12.99823915160211,4
48439123001,12.996728174187568,4
48439111402,12.750733896111825,3
48113018144,13.611237088324883,4
48113016524,13.860070269816665,13
48113018146,13.694584840928172,5
48113018507,,0
48113019045,,0
48113019047,13.395659430525644,2
48113012802,13.998572818194763,1
48113016530,13.618172817681334,4
48113008402,13.98566515458785,3
48113016531,13.712581084981837,3
48113019051,13.72512009364107,8
48113019216,13.482889228534352,1
48113008101,14.070123731151043,3
48113018151,13.304247594208215,5
48113013202,13.4578890841214,4
48113013012,,0
48113008102,14.19147044130654,4
48113016527,13.261857564334589,11
48113000801,,0
48113000902,14.121348026351875,1
48113014142,13.655194417414997,1
48113012801,14.099747725265905,3
48113021200,13.023850993005011,22
48113007915,14.1039800211964,1
48113012502,14.059224148743578,1
48113012501,14.051510946379572,1
48113016635,13.783973544057957,3
48113016534,13.26508831776112,3
48113007702,13.762755029992324,2
48113007830,13.912426064670674,1
48113013808,13.33769143919572,4
48113014704,13.533730309275114,2
48113007206,13.768254170067927,1
48113016420,13.625663275743271,1
48113010001,13.32499954411141,8
48113007831,,0
48113016532,14.061492739729905,3
48113013807,13.71760897813472,2
